src_type,category,subcategory,year,em_type,tons_per_day,population,TpDpCap
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY DIESEL URBAN BUSES (UBD),2000,nh3,2.71e-05,60395.0,4.487126417749814e-10
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY GAS URBAN BUSES (UBG),2000,nh3,1.364e-05,60395.0,2.2584651047272125e-10
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - GAS (SBG),2000,nh3,1.515e-05,60395.0,2.508485801804785e-10
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - DIESEL (SBD),2000,nh3,4.049e-05,60395.0,6.704197367331732e-10
MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - GAS (OBG),2000,nh3,1.608e-05,60395.0,2.662472058945277e-10
MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - MOTOR COACH - DIESEL (OBC),2000,nh3,1.528e-05,60395.0,2.5300107624803376e-10
MOBILE,ON-ROAD MOTOR VEHICLES,ALL OTHER BUSES - DIESEL (OBD),2000,nh3,3.728e-05,60395.0,6.172696415266164e-10
MOBILE,ON-ROAD MOTOR VEHICLES,MOTOR HOMES (MH),2000,nh3,0.00019106,60395.0,3.1635069128239095e-09
MOBILE,OTHER MOBILE SOURCES,AIRCRAFT,2000,nh3,0.0,60395.0,0.0
MOBILE,OTHER MOBILE SOURCES,TRAINS,2000,nh3,0.00021465,60395.0,3.5541021607748987e-09
MOBILE,OTHER MOBILE SOURCES,RECREATIONAL BOATS,2000,nh3,0.00010437,60395.0,1.7281231890057125e-09
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD RECREATIONAL VEHICLES,2000,nh3,0.00029778,60395.0,4.930540607666197e-09
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT,2000,nh3,0.00025304,60395.0,4.1897508071860255e-09
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT (PERP),2000,nh3,2.75e-06,60395.0,4.553357065982283e-11
MOBILE,OTHER MOBILE SOURCES,FARM EQUIPMENT,2000,nh3,0.00015867,60395.0,2.627204238761487e-09
MOBILE,OTHER MOBILE SOURCES,FUEL STORAGE AND HANDLING,2000,nh3,0.0,60395.0,0.0
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,BIOGENIC SOURCES,2000,nh3,0.0372,60395.0,6.15945028561967e-07
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,GEOGENIC SOURCES,2000,nh3,0.27679452,60395.0,4.583070121698816e-06
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,WILDFIRES,2000,nh3,0.0,60395.0,0.0
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,nox,0.0,60395.0,0.0
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,nox,0.00283064,60395.0,4.686878052818942e-08
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,nox,0.04362578,60395.0,7.223409222617766e-07
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,nox,0.33832294,60395.0,5.601836907028728e-06
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,nox,0.52852093,60395.0,8.75107094958192e-06
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,nox,0.67001909,60395.0,1.1093949664707343e-05
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,nox,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,nox,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,nox,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,nox,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,nox,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,nox,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,nox,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,nox,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,nox,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,nox,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),2000,nox,0.0,60395.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,2000,nox,0.0,60395.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,nox,0.0,60395.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,nox,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,2000,nox,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,2000,nox,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,2000,nox,0.04575343,60395.0,7.575698319397301e-07
STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,2000,nox,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,2000,nox,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),2000,nox,0.0,60395.0,0.0
AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,2000,nox,0.0,60395.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,2000,nox,0.0,60395.0,0.0
AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,2000,nox,0.0,60395.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,2000,nox,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,2000,nox,0.17864099,60395.0,2.957877142147529e-06
AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,2000,nox,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,2000,nox,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,2000,nox,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST,2000,nox,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST,2000,nox,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FIRES,2000,nox,0.00029774,60395.0,4.929878301183873e-09
AREAWIDE,MISCELLANEOUS PROCESSES,MANAGED BURNING AND DISPOSAL,2000,nox,0.01931804,60395.0,3.198615779451942e-07
AREAWIDE,MISCELLANEOUS PROCESSES,COOKING,2000,nox,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES),2000,nox,0.0,60395.0,0.0
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA),2000,nox,0.88645413,60395.0,1.4677607914562463e-05
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 1 (LDT1),2000,nox,0.42780056,60395.0,7.083377100753373e-06
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 2 (LDT2),2000,nox,0.62445048,60395.0,1.0339440019869195e-05
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM DUTY TRUCKS (MDV),2000,nox,0.28546112,60395.0,4.7265687556916965e-06
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 1 (LHDGT1),2000,nox,0.07749288,60395.0,1.2831009189502443e-06
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 2 (LHDGT2),2000,nox,0.01109738,60395.0,1.8374666777051082e-07
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY GAS TRUCKS (MHDGT),2000,nox,0.04607688,60395.0,7.629254077324282e-07
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY GAS TRUCKS (HHDGT),2000,nox,0.03632626,60395.0,6.014779369153075e-07
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 1 (LHDDT1),2000,nox,0.30907012,60395.0,5.11747859922179e-06
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 2 (LHDDT2),2000,nox,0.04044609,60395.0,6.696926897922013e-07
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY DIESEL TRUCKS (MHDDT),2000,nox,0.33249655,60395.0,5.505365510389933e-06
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY DIESEL TRUCKS (HHDDT),2000,nox,0.51895625,60395.0,8.592702210447886e-06
MOBILE,ON-ROAD MOTOR VEHICLES,MOTORCYCLES (MCY),2000,nox,0.00820219,60395.0,1.358090901564699e-07
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY DIESEL URBAN BUSES (UBD),2000,nox,0.0175967,60395.0,2.9136021193807433e-07
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY GAS URBAN BUSES (UBG),2000,nox,0.00069883,60395.0,1.1570990976074178e-08
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - GAS (SBG),2000,nox,0.0014665,60395.0,2.4281811408229158e-08
